TABLE_SCHEMA|TABLE_NAME|TABLE_TYPE
------------|----------|----------
dbo|ADR_Incompatibilidades|BASE TABLE
dbo|ADR_Referencia|BASE TABLE
dbo|AGENDA_PREPARACION_CARGA|BASE TABLE
dbo|AGENDA_REPARTIDOR|BASE TABLE
dbo|AGENDA_REPARTIDOR_HISTORIAL|BASE TABLE
dbo|AGENDA_REPARTIDOR_LOG|BASE TABLE
dbo|Agenda_Repartidor_Resp|BASE TABLE
dbo|AGENDA_TIPO_TAREA|BASE TABLE
dbo|Agentes_Sucursal|BASE TABLE
dbo|Almacen|BASE TABLE
dbo|Almacen_Geografia_Default|BASE TABLE
dbo|Asistencia_vacaciones|BASE TABLE
dbo|Banco|BASE TABLE
dbo|borrador1|BASE TABLE
dbo|borrar1|BASE TABLE
dbo|Borrar2|BASE TABLE
dbo|CAJA_ADM|BASE TABLE
dbo|Camion|BASE TABLE
dbo|Camion_Ruta_Restriccion|BASE TABLE
dbo|Cancelaciones|BASE TABLE
dbo|CFG_Parametros|BASE TABLE
dbo|Cliente_Sucursal|BASE TABLE
dbo|Compra_series|BASE TABLE
dbo|Comprobante|BASE TABLE
dbo|ComprobantePedido|BASE TABLE
dbo|Configuracion|BASE TABLE
dbo|ConfiguracionRegional|BASE TABLE
dbo|Constantes|BASE TABLE
dbo|CONTRATO_HISTORIAL|BASE TABLE
dbo|CONTRATOS|BASE TABLE
dbo|Contratos_Alertas|BASE TABLE
dbo|Conversion|BASE TABLE
dbo|CORRELATIVO_DOCUMENTO|BASE TABLE
dbo|CorrelativosDocumento|BASE TABLE
dbo|Correos|BASE TABLE
dbo|CorreosProgramados|BASE TABLE
dbo|CP COSTA RICA2|BASE TABLE
dbo|CP_Codigo_Postal|BASE TABLE
dbo|CP_Comunidad_Autonoma|BASE TABLE
dbo|CP_Localidad|BASE TABLE
dbo|CP_Municipio|BASE TABLE
dbo|CP_Municipio_CP|BASE TABLE
dbo|CP_Pais|BASE TABLE
dbo|CP_Provincia|BASE TABLE
dbo|CP_Stg_CA|BASE TABLE
dbo|CP_Stg_CP|BASE TABLE
dbo|CP_Stg_Muni_CP|BASE TABLE
dbo|CP_Stg_Municipio|BASE TABLE
dbo|CP_Stg_Provincia|BASE TABLE
dbo|Creditos|BASE TABLE
dbo|cuadrecaja|BASE TABLE
dbo|cv|BASE TABLE
dbo|Datos_Bancarios|BASE TABLE
dbo|DB_Version|BASE TABLE
dbo|Descuentos|BASE TABLE
dbo|Destino|BASE TABLE
dbo|Detalle_Desc|BASE TABLE
dbo|detalle_documento|BASE TABLE
dbo|Detalle_OP|BASE TABLE
dbo|Detalle_orden|BASE TABLE
dbo|Detalle_Pago|BASE TABLE
dbo|DetalleMovimiento|BASE TABLE
dbo|Direccion|BASE TABLE
dbo|Direcciones_NoClientes|BASE TABLE
dbo|Dist_Caotica|BASE TABLE
dbo|ECabecera_pedido|BASE TABLE
dbo|ECambios|BASE TABLE
dbo|Ecargos_funciones|BASE TABLE
dbo|EChoferesPorMovimiento|BASE TABLE
dbo|Ecil_duenio|BASE TABLE
dbo|ECilindroEstadoActual|BASE TABLE
dbo|ECilindroEstadoCatalogo|BASE TABLE
dbo|ECilindroEstadoLog|BASE TABLE
dbo|ECilindroEstadoRegla|BASE TABLE
dbo|ECilindroEstadoTransicion|BASE TABLE
dbo|ECilindroEtiquetaHistorial|BASE TABLE
dbo|ECilindros_Servicios|BASE TABLE
dbo|Eclaves_operacion|BASE TABLE
dbo|EComponentes_Gases|BASE TABLE
dbo|EDetalle_cpedido|BASE TABLE
dbo|EDetalle_Descargas|BASE TABLE
dbo|Edetalle_Producto_Bombona|BASE TABLE
dbo|Edetalle_Producto_Bombona_Backup_2025|BASE TABLE
dbo|Edetalle_retimbrado|BASE TABLE
dbo|EEquipos|BASE TABLE
dbo|EEquiposPorMovimiento|BASE TABLE
dbo|EGarantia|BASE TABLE
dbo|ELIMINAR|BASE TABLE
dbo|empleado_almacenAntes|BASE TABLE
dbo|empresaresponsable|BASE TABLE
dbo|Eph|BASE TABLE
dbo|EReporte_Cargas_Peligrosas|BASE TABLE
dbo|EstadoCancelacion|BASE TABLE
dbo|EstadoMovimiento|BASE TABLE
dbo|EstadoProducto|BASE TABLE
dbo|EstadPago|BASE TABLE
dbo|ExcepcionMotivo|BASE TABLE
dbo|Familia|BASE TABLE
dbo|Fiscal_ProveedorValidacion|BASE TABLE
dbo|Formas_pago|BASE TABLE
dbo|Formula|BASE TABLE
dbo|Geocode_Cache|BASE TABLE
dbo|Grupo|BASE TABLE
dbo|grupo_user|BASE TABLE
dbo|HistorialEstadosTraslados|BASE TABLE
dbo|HistorialFacturacion|BASE TABLE
dbo|HistorialMovimientoEstado|BASE TABLE
dbo|Horarios|BASE TABLE
dbo|importar|BASE TABLE
dbo|Impresion_letras|BASE TABLE
dbo|kardex|BASE TABLE
dbo|Linea|BASE TABLE
dbo|LogEscaneo|BASE TABLE
dbo|Marca|BASE TABLE
dbo|Menu|BASE TABLE
dbo|Monedas|BASE TABLE
dbo|Motivo_Reprogramacion|BASE TABLE
dbo|Movimiento|BASE TABLE
dbo|OffDEPARTAMENTO|BASE TABLE
dbo|OffDISTRITO|BASE TABLE
dbo|OFFPROVINCIA|BASE TABLE
dbo|Orden_compra|BASE TABLE
dbo|ORDEN_PAGO|BASE TABLE
dbo|Pago|BASE TABLE
dbo|Pais|BASE TABLE
dbo|Parametros_Repartidor|BASE TABLE
dbo|PedidoCompromisos_Hist|BASE TABLE
dbo|Permiso|BASE TABLE
dbo|Persona_ActividadFiscal|BASE TABLE
dbo|Persona_Nuevo|BASE TABLE
dbo|Persona_Proceso_Almacen|BASE TABLE
dbo|PersonaAntes|BASE TABLE
dbo|PLAN_PREPARACION_CARGA|BASE TABLE
dbo|PLAN_PREPARACION_DETALLE|BASE TABLE
dbo|Planificacion_DetalleMovimiento|BASE TABLE
dbo|ProdFamilia|BASE TABLE
dbo|Producto|BASE TABLE
dbo|Producto_Backup_2025|BASE TABLE
dbo|Promocion|BASE TABLE
dbo|pruebaDigitalPersona|BASE TABLE
dbo|RazonSocial|BASE TABLE
dbo|RD_NCF|BASE TABLE
dbo|Registro_Coordenadas|BASE TABLE
dbo|Reporte_mov_envases|BASE TABLE
dbo|reportes|BASE TABLE
dbo|Requerimientos|BASE TABLE
dbo|Ruta|BASE TABLE
dbo|Ruta_DiaSemana|BASE TABLE
dbo|Ruta_PuntoEntrega|BASE TABLE
dbo|Serie|BASE TABLE
dbo|SerieConfiguracion|BASE TABLE
dbo|Stock_Actual|BASE TABLE
dbo|SubCategoria|BASE TABLE
dbo|SubCategoriaBack|BASE TABLE
dbo|Sublinea|BASE TABLE
dbo|SubMenu|BASE TABLE
dbo|SUBMENU1|BASE TABLE
dbo|sysdiagrams|BASE TABLE
dbo|Tabla_configuracion|BASE TABLE
dbo|Tarifa_cliente|BASE TABLE
dbo|TBLIGV|BASE TABLE
dbo|TCcompra|BASE TABLE
dbo|Telefonos|BASE TABLE
dbo|temporal|BASE TABLE
dbo|TEstadoC|BASE TABLE
