COLUMN_NAME|DATA_TYPE|CHARACTER_MAXIMUM_LENGTH|IS_NULLABLE|TABLE_SCHEMA|TABLE_NAME
-----------|---------|------------------------|-----------|------------|----------
codigo|int|NULL|NO|dbo|AAA ayudaParacrearTablaGrupo
Descripcion|nvarchar|50|YES|dbo|AAA ayudaParacrearTablaGrupo
cod_Linea|int|NULL|NO|dbo|AAA ayudaParacrearTablaGrupo
Desc_Linea|nvarchar|50|YES|dbo|AAA ayudaParacrearTablaGrupo
Cod_Sublinea|int|NULL|NO|dbo|AAA ayudaParacrearTablaGrupo
Desc_SubLinea|nvarchar|50|NO|dbo|AAA ayudaParacrearTablaGrupo
Cod_Unidad|int|NULL|NO|dbo|AAA ayudaParacrearTablaGrupo
Desc_Unidad|nvarchar|50|YES|dbo|AAA ayudaParacrearTablaGrupo
cod_producto|int|NULL|NO|dbo|AAA ayudaParacrearTablaGrupo
Nro_Producto|nvarchar|20|YES|dbo|AAA ayudaParacrearTablaGrupo
Desc_Producto|nvarchar|300|YES|dbo|AAA ayudaParacrearTablaGrupo
Id|int|NULL|NO|dbo|ADR_Incompatibilidades
ClaseADR|nvarchar|20|NO|dbo|ADR_Incompatibilidades
IncompatibleCon|nvarchar|20|NO|dbo|ADR_Incompatibilidades
Motivo|nvarchar|200|YES|dbo|ADR_Incompatibilidades
Id|int|NULL|NO|dbo|ADR_Referencia
UN_Numero|varchar|10|NO|dbo|ADR_Referencia
Nombre_Gas|nvarchar|120|NO|dbo|ADR_Referencia
Clase|varchar|20|YES|dbo|ADR_Referencia
Grupo_Embalaje|varchar|10|YES|dbo|ADR_Referencia
Formato_Bulto|nvarchar|50|YES|dbo|ADR_Referencia
Etiqueta|nvarchar|50|YES|dbo|ADR_Referencia
Tunel|nvarchar|50|YES|dbo|ADR_Referencia
Producto_Linea|nvarchar|80|YES|dbo|ADR_Referencia
Variante|nvarchar|80|YES|dbo|ADR_Referencia
Capacidad_L|decimal|NULL|YES|dbo|ADR_Referencia
TaraEstandarKg|decimal|NULL|YES|dbo|ADR_Referencia
ContenidoNominalKg|decimal|NULL|YES|dbo|ADR_Referencia
FactorContenidoKg|decimal|NULL|YES|dbo|ADR_Referencia
Categoria_TTE|tinyint|NULL|NO|dbo|ADR_Referencia
Factor_1136|decimal|NULL|NO|dbo|ADR_Referencia
