CONSTRAINT_NAME|TABLE_SCHEMA|TABLE_NAME|CONSTRAINT_TYPE
---------------|------------|----------|---------------
CK_Agenda_Estado|dbo|AGENDA_REPARTIDOR|CHECK
CK_CP_CodigoPostal_Formato|dbo|CP_Codigo_Postal|CHECK
CK_CP_Localidad_CP|dbo|CP_Localidad|CHECK
chk_regimen_iva|dbo|Eclaves_operacion|CHECK
CK__Formas_pa__TipoO__265D20EE|dbo|Formas_pago|CHECK
CK_Movimiento_TipoMovimiento|dbo|Movimiento|CHECK
CK_Movimiento_Estado|dbo|Movimiento|CHECK
CK__Tipo_Doc__EsIngr__42053B63|dbo|TipoDoc|CHECK
CK__Vehiculo___Dvisi__165BC34F|dbo|Vehiculo_cliente_nuevo|CHECK
FK_Agenda_Coordenada|dbo|AGENDA_REPARTIDOR|FOREIGN KEY
FK_AgentesSucursal_VehiculoNuevo|dbo|Agentes_Sucursal|FOREIGN KEY
FK_AgentesSucursal_VehiculoClienteNuevo|dbo|Agentes_Sucursal|FOREIGN KEY
FK__Agentes_S__Cod_R__63D04382|dbo|Agentes_Sucursal|FOREIGN KEY
FK_AGD_PR|dbo|Almacen_Geografia_Default|FOREIGN KEY
FK_AGD_MU|dbo|Almacen_Geografia_Default|FOREIGN KEY
FK_AGD_LO|dbo|Almacen_Geografia_Default|FOREIGN KEY
FK_AGD_CA|dbo|Almacen_Geografia_Default|FOREIGN KEY
FK_Cliente_Sucursal_Almacen|dbo|Cliente_Sucursal|FOREIGN KEY
FK_Cliente_Sucursal_Vehiculo|dbo|Cliente_Sucursal|FOREIGN KEY
FK_Comprobante_TipoDoc|dbo|Comprobante|FOREIGN KEY
FK_Comprobante_TEstadoC|dbo|Comprobante|FOREIGN KEY
FK_CONTRATO_HISTORIAL|dbo|CONTRATO_HISTORIAL|FOREIGN KEY
FK_Correos_PersonaNuevo|dbo|Correos|FOREIGN KEY
FK_CorreosProgramados_Producto|dbo|CorreosProgramados|FOREIGN KEY
FK_CPCA_Pais|dbo|CP_Comunidad_Autonoma|FOREIGN KEY
FK_CP_Localidad_Municipio|dbo|CP_Localidad|FOREIGN KEY
FK_CP_Municipio_Provincia|dbo|CP_Municipio|FOREIGN KEY
FK_CP_Municipio_CP_Mun|dbo|CP_Municipio_CP|FOREIGN KEY
FK_CP_Provincia_ComunidadAutonoma|dbo|CP_Provincia|FOREIGN KEY
FK_CREDITOS_Persona|dbo|Creditos|FOREIGN KEY
FK_DatosBancariossi_Responsable|dbo|Datos_Bancarios|FOREIGN KEY
FK_DatosBancarios_Banco|dbo|Datos_Bancarios|FOREIGN KEY
FK_DatosBancariossi_Cliente|dbo|Datos_Bancarios|FOREIGN KEY
FK_Detalle_orden_Producto|dbo|Detalle_orden|FOREIGN KEY
FK_DetalleMovimiento_Producto|dbo|DetalleMovimiento|FOREIGN KEY
FK__Direccion__Cod_P__60F3D6D7|dbo|Direcciones_NoClientes|FOREIGN KEY
FK__Direccion__Id_Zo__61E7FB10|dbo|Direcciones_NoClientes|FOREIGN KEY
FK_ECargosFunciones_PersonaNuevo|dbo|Ecargos_funciones|FOREIGN KEY
FK__Ecargos_f__Cod_S__0936D25B|dbo|Ecargos_funciones|FOREIGN KEY
FK_EChoferesPorMovimiento_PersonaNuevo|dbo|EChoferesPorMovimiento|FOREIGN KEY
FK__ChoferesP__Cod_M__00177C75|dbo|EChoferesPorMovimiento|FOREIGN KEY
FK__Ecil_duen__Id_pe__5F209CFE|dbo|Ecil_duenio|FOREIGN KEY
FK_Ecil_duenio_Persona|dbo|Ecil_duenio|FOREIGN KEY
