Prefijo Cantidad
------- --------
sp_ 177
Mos 103
Bus 82
Pro 76
usp 56
Mod 33
CON 32
Act 32
ins 25
CP_ 22
SHO 18
Cre 17
Pac 17
tip 15
Mov 15
COM 14
det 13
Eli 13
Per 12
Sub 12
Alm 9
anu 7
pre 7
Ser 6
Lin 6
Rut 5
Ubi 4
tra 4
Mar 4
Lis 4
ord 4
REP 4
Est 4
Uni 4
Obt 4
veh 4
Dat 4
Dir 3
Val 3
des 3
Ret 3
CER 3
Raz 3
men 2
Sug 2
CR_ 2
Pag 2
rec 2
Eca 2
cie 2
moz 2
UPD 2
Suc 2
fam 2
EGa 2
Ped 2
cli 2
dis 2
tc_ 1
Flu 1
tem 1
Imp 1
baj 1
Can 1
PH_ 1
Res 1
TAR 1
ver 1
amo 1
TCc 1
cam 1
ATU 1
Gru 1
EDe 1
MON 1
MAT 1
Sto 1
Dev 1
mig 1
IGV 1
AA_ 1
Geo 1
Cod 1
Tic 1
Ban 1
Mil 1

(86 rows affected)
