name|type_desc|create_date|modify_date
----|---------|-----------|-----------
sp_upgraddiagrams|SQL_STORED_PROCEDURE|2010-10-24 22:28:22.013|2015-08-19 21:54:41.710
sp_helpdiagrams|SQL_STORED_PROCEDURE|2010-10-24 22:28:22.030|2015-08-19 21:54:41.743
sp_helpdiagramdefinition|SQL_STORED_PROCEDURE|2010-10-24 22:28:22.047|2015-08-19 21:54:41.750
sp_creatediagram|SQL_STORED_PROCEDURE|2010-10-24 22:28:22.077|2015-08-19 21:54:41.750
sp_renamediagram|SQL_STORED_PROCEDURE|2010-10-24 22:28:22.077|2015-08-19 21:54:41.753
sp_alterdiagram|SQL_STORED_PROCEDURE|2010-10-24 22:28:22.077|2015-08-19 21:54:41.780
sp_dropdiagram|SQL_STORED_PROCEDURE|2010-10-24 22:28:22.077|2015-08-19 21:54:41.783
Personal_Insertar|SQL_STORED_PROCEDURE|2010-11-18 00:24:52.153|2026-06-17 13:15:03.193
Paciente_Insertar|SQL_STORED_PROCEDURE|2010-11-18 00:25:37.750|2025-01-10 10:45:44.423
Paciente_BuscarxDNI|SQL_STORED_PROCEDURE|2010-11-18 22:10:22.547|2023-11-02 14:51:08.300
Paciente_BuscarxNom|SQL_STORED_PROCEDURE|2010-11-18 23:15:24.750|2024-12-18 20:56:53.237
Paciente_Modificar|SQL_STORED_PROCEDURE|2010-11-21 00:55:18.107|2024-12-18 20:26:51.173
Almacen_Insertar|SQL_STORED_PROCEDURE|2010-11-21 09:03:08.670|2021-07-15 23:23:33.150
Almacen_Modificar|SQL_STORED_PROCEDURE|2010-11-21 09:06:17.310|2021-07-15 23:23:33.150
Almacen_BuscarxNom|SQL_STORED_PROCEDURE|2010-11-21 09:08:48.717|2024-10-06 21:25:06.380
TipoInsumo_Insertar|SQL_STORED_PROCEDURE|2010-11-21 10:18:10.107|2015-08-19 21:54:42.420
TipoInsumo_Modificar|SQL_STORED_PROCEDURE|2010-11-21 10:20:04.890|2015-08-19 21:54:42.420
Tipoatencion_BuscarDesc|SQL_STORED_PROCEDURE|2010-11-21 10:27:08.687|2015-08-19 21:54:42.423
Linea_Insertar|SQL_STORED_PROCEDURE|2010-11-21 23:20:37.717|2015-10-20 18:17:37.330
Linea_BuscarxNom|SQL_STORED_PROCEDURE|2010-11-21 23:24:42.700|2025-10-19 15:09:33.410
Linea_Modificar|SQL_STORED_PROCEDURE|2010-11-21 23:25:06.827|2015-10-20 18:18:43.263
Unidad_Insertar|SQL_STORED_PROCEDURE|2010-11-24 21:55:00.107|2015-08-19 21:54:42.443
Unidad_Modificar|SQL_STORED_PROCEDURE|2010-11-24 21:55:56.920|2015-08-19 21:54:42.447
Unidad_BuscarxNom|SQL_STORED_PROCEDURE|2010-11-24 21:56:37.827|2015-08-19 21:54:42.450
Serie_Insertar|SQL_STORED_PROCEDURE|2010-11-24 22:08:45.873|2015-08-19 21:54:42.453
Serie_Modificar|SQL_STORED_PROCEDURE|2010-11-24 22:17:05.340|2015-08-19 21:54:42.487
Serie_BuscarxNom|SQL_STORED_PROCEDURE|2010-11-24 22:18:04.577|2015-08-19 21:54:42.490
Producto_Insertar|SQL_STORED_PROCEDURE|2010-11-25 19:35:20.787|2026-03-09 16:25:19.830
Producto_Modificar|SQL_STORED_PROCEDURE|2010-11-25 19:37:39.520|2026-03-12 00:11:23.210
Unidad_BuscarxNomCB|SQL_STORED_PROCEDURE|2010-11-25 21:00:33.117|2015-08-19 21:54:42.513
Linea_BuscarxNomCB|SQL_STORED_PROCEDURE|2010-11-25 21:00:59.740|2015-08-19 21:54:42.517
TipoInsumo_BuscarDescCB|SQL_STORED_PROCEDURE|2010-11-25 21:02:20.367|2015-08-19 21:54:42.520
Producto_BuscarxNom|SQL_STORED_PROCEDURE|2010-11-25 22:00:18.647|2025-10-14 21:38:36.707
sp_Movimiento_atencion|SQL_STORED_PROCEDURE|2010-11-26 07:51:28.577|2015-08-19 21:54:42.527
Sp_Movimiento_eliminar|SQL_STORED_PROCEDURE|2010-11-26 07:52:02.310|2019-05-19 14:56:53.930
sp_Movimiento_insertar|SQL_STORED_PROCEDURE|2010-11-26 07:52:41.827|2026-06-13 11:02:23.077
sp_movimiento_insertarticket|SQL_STORED_PROCEDURE|2010-11-26 07:53:33.653|2015-08-19 21:54:42.533
sp_Movimiento_modificar|SQL_STORED_PROCEDURE|2010-11-26 07:54:04.857|2021-06-27 20:32:33.347
sp_Movimiento_modificarSALDO|SQL_STORED_PROCEDURE|2010-11-26 07:54:42.060|2015-08-19 21:54:42.540
sp_Usuario_Validar|SQL_STORED_PROCEDURE|2010-11-26 09:33:41.723|2025-01-03 11:32:32.910
sp_DetalleMovimiento_Eliminar|SQL_STORED_PROCEDURE|2010-11-26 10:15:11.560|2015-08-19 21:54:42.547
Producto_BuscarxNroSerie|SQL_STORED_PROCEDURE|2010-11-26 10:20:41.880|2026-03-18 23:20:57.843
Producto_Buscar|SQL_STORED_PROCEDURE|2010-11-26 10:29:02.563|2026-06-11 21:33:01.173
Paciente_BuscarxNom1|SQL_STORED_PROCEDURE|2010-11-26 10:41:48.057|2015-08-19 21:54:42.560
PERSONA_BuscarxNom|SQL_STORED_PROCEDURE|2010-11-26 10:48:15.090|2025-02-18 21:25:54.620
PERSONA_BuscarxNom1|SQL_STORED_PROCEDURE|2010-11-26 10:48:29.433|2015-08-19 21:54:42.570
Paciente_Buscar|SQL_STORED_PROCEDURE|2010-11-26 11:06:33.003|2025-02-11 19:41:44.850
sp_Movimiento_MostrarxMes|SQL_STORED_PROCEDURE|2010-11-26 18:51:17.243|2021-12-03 17:10:39.610
sp_Movimiento_Mostrardetallemovimiento|SQL_STORED_PROCEDURE|2010-11-26 19:21:46.810|2025-11-05 15:15:15.687
sp_DetalleMovimiento_Insertar|SQL_STORED_PROCEDURE|2010-11-26 21:11:38.200|2016-02-25 01:12:00.650
sp_DetalleMovimiento_Modificar|SQL_STORED_PROCEDURE|2010-11-26 21:18:41.327|2016-02-11 19:50:24.667
Configuracion_Insertar|SQL_STORED_PROCEDURE|2010-11-27 11:05:27.103|2015-08-19 21:54:42.440
Configuracion_Modificar|SQL_STORED_PROCEDURE|2010-11-27 11:06:38.857|2015-08-19 21:54:42.443
Serie_CBBuscarxNom|SQL_STORED_PROCEDURE|2010-11-27 11:19:14.423|2015-08-19 21:54:42.447
Configuracion_CBBuscarxSuc|SQL_STORED_PROCEDURE|2010-11-27 11:52:30.967|2021-08-22 12:33:28.897
Configuracion_MostrarxSuc|SQL_STORED_PROCEDURE|2010-11-27 12:24:02.510|2015-08-19 21:54:42.453
Producto_mostrarCompras|SQL_STORED_PROCEDURE|2010-11-29 09:56:06.590|2026-06-19 21:27:56.337
Producto_mostrarkARDEX|SQL_STORED_PROCEDURE|2010-11-29 11:19:51.383|2026-06-19 22:16:19.517
BuscarDesc_ConfiguracionxNom|SQL_STORED_PROCEDURE|2010-11-29 18:56:41.407|2026-02-06 20:51:52.353
sp_Movimiento_MostrarxMes1|SQL_STORED_PROCEDURE|2010-11-29 20:53:25.697|2025-02-12 08:04:16.570
RECEPCION_lISTAR|SQL_STORED_PROCEDURE|2010-11-30 09:54:08.730|2025-10-12 21:29:31.393
sp_Movimiento_aCTUALIZAR|SQL_STORED_PROCEDURE|2010-11-30 09:57:51.137|2015-08-19 21:54:42.530
tipodoc_BuscarxNom|SQL_STORED_PROCEDURE|2010-11-30 19:00:21.880|2026-05-15 14:00:39.533
Paciente_BuscarxRUC|SQL_STORED_PROCEDURE|2010-11-30 19:25:10.810|2023-11-02 14:51:08.293
Crear_Comprobante|SQL_STORED_PROCEDURE|2010-11-30 19:59:05.920|2015-08-19 21:54:42.570
Modificar_Comprobante|SQL_STORED_PROCEDURE|2010-11-30 19:59:34.073|2015-08-19 21:54:42.570
BuscarDesc_TipoDocxNom|SQL_STORED_PROCEDURE|2010-11-30 20:08:01.110|2015-08-19 21:54:42.573
Buscar_Comprobantextipo|SQL_STORED_PROCEDURE|2010-11-30 20:14:56.330|2026-05-11 20:08:33.963
aNULAR_cAJA|SQL_STORED_PROCEDURE|2010-11-30 20:17:21.410|2015-08-19 21:54:42.577
TipoDoc_Insertar|SQL_STORED_PROCEDURE|2010-12-01 17:14:39.207|2015-08-19 21:54:42.580
TipoDoc_Modificar|SQL_STORED_PROCEDURE|2010-12-01 17:17:27.537|2015-08-19 21:54:42.583
Producto_BuscarxFormula|SQL_STORED_PROCEDURE|2010-12-01 18:41:18.287|2016-03-08 01:08:02.367
Producto_BuscarxNomCB|SQL_STORED_PROCEDURE|2010-12-02 16:59:32.600|2015-08-19 21:54:41.677
Producto_ActualizarPreciosEst|SQL_STORED_PROCEDURE|2010-12-02 17:09:21.603|2015-08-19 21:54:41.680
sp_formula_Insertar|SQL_STORED_PROCEDURE|2010-12-02 17:44:20.383|2015-08-19 21:54:41.693
sp_receta_modificar|SQL_STORED_PROCEDURE|2010-12-02 17:51:24.103|2015-08-19 21:54:41.697
receta_mostrarxcod|SQL_STORED_PROCEDURE|2010-12-02 19:21:33.450|2018-08-21 18:02:47.973
sp_formula_Eliminar|SQL_STORED_PROCEDURE|2010-12-02 20:06:42.767|2015-08-19 21:54:41.700
Personal_Modificar|SQL_STORED_PROCEDURE|2010-12-02 20:41:39.390|2023-11-02 14:51:08.253
PRODUCTO_MOSTRARSTOCKALMACENES|SQL_STORED_PROCEDURE|2010-12-04 09:33:16.770|2022-01-07 09:10:10.333
Producto_BuscarxRECETA|SQL_STORED_PROCEDURE|2010-12-04 10:08:17.813|2015-08-19 21:54:41.710
sp_Movimiento_Mostrarxdia|SQL_STORED_PROCEDURE|2010-12-07 16:29:19.503|2016-03-07 01:02:30.853
Crear_comprobantepedido|SQL_STORED_PROCEDURE|2010-12-07 18:26:42.390|2015-08-19 21:54:41.750
sp_Movimiento_MostrarxAPENOM|SQL_STORED_PROCEDURE|2010-12-07 18:52:35.620|2015-08-19 21:54:41.757
Comprobante_buscarxMov|SQL_STORED_PROCEDURE|2010-12-07 20:06:42.800|2015-08-19 21:54:41.780
Producto_cambiarnombre|SQL_STORED_PROCEDURE|2010-12-09 09:22:00.240|2015-08-19 21:54:41.783
Producto_BuscarxTipo|SQL_STORED_PROCEDURE|2010-12-11 12:02:43.390|2021-08-18 11:24:53.670
temporal_Insertar|SQL_STORED_PROCEDURE|2010-12-15 20:14:29.270|2015-08-19 21:54:42.077
sp_Temporal_EliminarGrupo|SQL_STORED_PROCEDURE|2010-12-15 20:16:45.097|2015-08-19 21:54:42.077
sp_Temporal_Eliminarsucursal|SQL_STORED_PROCEDURE|2010-12-15 20:17:11.330|2015-08-19 21:54:42.080
Marca_BuscarxNom|SQL_STORED_PROCEDURE|2011-01-10 14:20:29.217|2015-08-19 21:54:42.090
Marca_BuscarxNomCB|SQL_STORED_PROCEDURE|2011-01-10 14:21:02.763|2015-08-19 21:54:42.090
Marca_Insertar|SQL_STORED_PROCEDURE|2011-01-10 14:21:42.640|2015-08-19 21:54:42.090
Marca_Modificar|SQL_STORED_PROCEDURE|2011-01-10 14:22:23.500|2015-08-19 21:54:42.093
SubLinea_Insertar|SQL_STORED_PROCEDURE|2011-01-18 00:21:45.577|2015-08-19 21:54:42.093
SubLinea_Modificar|SQL_STORED_PROCEDURE|2011-01-18 00:25:09.640|2015-08-19 21:54:42.093
SubLinea_BuscarxNomCB|SQL_STORED_PROCEDURE|2011-01-18 00:30:05.340|2015-08-19 21:54:42.093
SubLinea_BuscarxNom|SQL_STORED_PROCEDURE|2011-01-18 00:31:44.670|2015-08-19 21:54:42.130
SubLinea_BuscarxNomXLinea|SQL_STORED_PROCEDURE|2011-01-20 00:20:02.500|2024-08-12 18:44:40.580
EstadoProducto_Insertar|SQL_STORED_PROCEDURE|2011-01-21 07:43:39.000|2015-08-19 21:54:42.133
EstadoProducto_Modificar|SQL_STORED_PROCEDURE|2011-01-21 07:44:58.030|2015-08-19 21:54:42.173
EstadoProducto_BuscarxNomCB|SQL_STORED_PROCEDURE|2011-01-21 07:46:28.437|2015-08-19 21:54:42.177
EstadoProducto_BuscarxNom|SQL_STORED_PROCEDURE|2011-01-21 07:47:34.420|2015-08-19 21:54:42.180
sp_descuento_Insertar|SQL_STORED_PROCEDURE|2011-02-04 07:26:32.483|2015-08-19 21:54:42.220
sp_Detalle_Desc_Insertar|SQL_STORED_PROCEDURE|2011-02-04 07:31:01.670|2015-08-19 21:54:42.223
sp_descuento_modificar|SQL_STORED_PROCEDURE|2011-02-08 23:32:55.293|2015-08-19 21:54:42.423
sp_Descuento_BuscarxSucursal|SQL_STORED_PROCEDURE|2011-02-09 00:27:52.530|2015-10-14 11:51:41.727
sp_DetalleDesc_Eliminar|SQL_STORED_PROCEDURE|2011-02-09 15:08:33.810|2015-08-19 21:54:42.430
sp_Descuento_BuscarxLineaxSucursal|SQL_STORED_PROCEDURE|2011-02-10 00:37:41.827|2015-08-19 21:54:42.430
Producto_BuscarVentasxcod|SQL_STORED_PROCEDURE|2011-02-12 00:21:01.077|2015-08-19 21:54:42.433
TipoA_Buscarxcod|SQL_STORED_PROCEDURE|2011-02-21 00:21:49.450|2015-08-19 21:54:42.453
TipoA_BuscarxNom|SQL_STORED_PROCEDURE|2011-02-21 00:22:14.983|2015-08-19 21:54:42.483
TipoA_CBBuscarxNom|SQL_STORED_PROCEDURE|2011-02-21 00:22:40.123|2015-08-19 21:54:42.490
IGV_mostrar|SQL_STORED_PROCEDURE|2011-03-04 01:10:22.250|2015-08-19 21:54:41.637
Producto_ActualizaCosto|SQL_STORED_PROCEDURE|2011-03-15 09:50:52.787|2015-08-19 21:54:41.700
MostrarCompras|SQL_STORED_PROCEDURE|2011-03-15 17:18:16.370|2015-08-19 21:54:41.713
Mostrar_Utilidades|SQL_STORED_PROCEDURE|2011-03-15 19:20:27.227|2015-08-19 21:54:41.747
Mostrar_UtilidadesAllSucursales|SQL_STORED_PROCEDURE|2011-03-16 10:05:31.943|2015-08-19 21:54:41.750
sp_Movimiento_Pagar|SQL_STORED_PROCEDURE|2011-03-16 18:02:01.707|2015-08-19 21:54:41.753
Movimiento_BuscarComprobante|SQL_STORED_PROCEDURE|2011-03-17 12:42:06.173|2017-10-08 10:10:23.030
Modificar_Administrador|SQL_STORED_PROCEDURE|2011-03-18 18:11:19.610|2015-08-19 21:54:41.983
Modificar_PermisocAJA|SQL_STORED_PROCEDURE|2011-03-18 18:11:45.390|2015-08-19 21:54:41.990
mostrar_permisosSistemas|SQL_STORED_PROCEDURE|2011-03-18 18:12:15.970|2015-08-19 21:54:41.990
Modificar_XDEMO|SQL_STORED_PROCEDURE|2011-03-18 18:14:17.770|2015-08-19 21:54:41.997
mostrar_permisosAdministrador|SQL_STORED_PROCEDURE|2011-03-18 18:14:56.837|2015-08-19 21:54:42.000
mostrar_permisosCaja|SQL_STORED_PROCEDURE|2011-03-18 18:15:18.117|2015-08-19 21:54:42.000
Buscar_demo|SQL_STORED_PROCEDURE|2011-03-18 18:21:44.990|2015-08-19 21:54:42.017
mostrar_permisosContabilidad|SQL_STORED_PROCEDURE|2011-03-18 18:44:18.063|2015-08-19 21:54:42.067
mostrar_permisosProgramacion|SQL_STORED_PROCEDURE|2011-03-18 18:45:10.190|2015-08-19 21:54:42.067
Modificar_Contabilidad|SQL_STORED_PROCEDURE|2011-03-18 18:49:48.073|2015-08-19 21:54:42.070
Modificar_programacion|SQL_STORED_PROCEDURE|2011-03-18 18:50:22.293|2015-08-19 21:54:42.070
Modificar_sistemas|SQL_STORED_PROCEDURE|2011-03-18 18:50:47.560|2015-08-19 21:54:42.073
