Cod_Producto,Bombona,Cod_Contenido,ContenidoFuente,Cod_UnidadFuente,UnidadFuenteLegacy,CantidadFuenteLegacy,M3GasResultado,PesoNetoKgResultado
319,"Argomet10  (Ar 90% + Metano 10%) B5 / 200BAR",377,"Argón Liquido - LAR",3,"UND",1.597000,1.050000,0.000000
321,"Argomet10 (Ar 90% + Metano 10%) B10 / 200BAR",377,"Argón Liquido - LAR",3,"UND",3.194000,2.100000,0.000000
329,"Argomet10 (Ar 90% + Metano 10%) B10 / 300BAR",377,"Argón Liquido - LAR",3,"UND",4.791000,3.150000,5.000000
322,"Argomet10 (Ar 90% + Metano 10%) B14 / 200BAR",377,"Argón Liquido - LAR",3,"UND",4.472000,2.940000,0.000000
330,"Argomet10 (Ar 90% + Metano 10%) B14 / 300BAR",377,"Argón Liquido - LAR",3,"UND",6.708000,4.410000,7.000000
323,"Argomet10 (Ar 90% + Metano 10%) B20 / 200BAR",377,"Argón Liquido - LAR",3,"UND",6.388000,4.200000,0.000000
331,"Argomet10 (Ar 90% + Metano 10%) B20 / 300BAR",377,"Argón Liquido - LAR",3,"UND",9.582000,6.300000,10.000000
324,"Argomet10 (Ar 90% + Metano 10%) B30 / 200BAR",377,"Argón Liquido - LAR",3,"UND",9.582000,6.300000,0.000000
332,"Argomet10 (Ar 90% + Metano 10%) B30 / 300BAR",377,"Argón Liquido - LAR",3,"UND",14.373000,9.450000,14.990000
325,"Argomet10 (Ar 90% + Metano 10%) B40 / 200BAR",377,"Argón Liquido - LAR",3,"UND",12.776000,8.400000,0.000000
333,"Argomet10 (Ar 90% + Metano 10%) B40 / 300BAR",377,"Argón Liquido - LAR",3,"UND",19.165000,12.600000,19.990000
327,"Argomet10 (Ar 90% + Metano 10%) B5 / 300BAR",377,"Argón Liquido - LAR",3,"UND",2.396000,1.580000,2.500000
326,"Argomet10 (Ar 90% + Metano 10%) B50 / 200BAR",377,"Argón Liquido - LAR",3,"UND",15.971000,10.500000,0.000000
334,"Argomet10 (Ar 90% + Metano 10%) B50 / 300BAR",377,"Argón Liquido - LAR",3,"UND",23.956000,15.750000,24.990000
320,"Argomet10 (Ar 90% + Metano 10%) B7 / 200BAR",377,"Argón Liquido - LAR",3,"UND",2.236000,1.470000,0.000000
328,"Argomet10 (Ar 90% + Metano 10%) B7 / 300BAR",377,"Argón Liquido - LAR",3,"UND",3.354000,2.210000,3.500000
53,"Argón industrial 12*50 / 200BAR",377,"Argón Liquido - LAR",3,"UND",212.940000,126.000000,212.940000
68,"Argón industrial 12*50 / 300BAR",377,"Argón Liquido - LAR",3,"UND",319.410000,189.000000,319.410000
55,"Argón industrial 12*80 / 200BAR",377,"Argón Liquido - LAR",3,"UND",340.704000,201.600000,340.700000
71,"Argón industrial 12*80 / 300BAR",377,"Argón Liquido - LAR",3,"UND",511.056000,302.400000,511.060000
54,"Argón industrial 16*50 / 200BAR",377,"Argón Liquido - LAR",3,"UND",283.920000,168.000000,283.920000
69,"Argón industrial 16*50 / 300BAR",377,"Argón Liquido - LAR",3,"UND",425.880000,252.000000,425.880000
56,"Argón industrial 16*80 / 200BAR",377,"Argón Liquido - LAR",3,"UND",454.272000,268.800000,454.270000
71,"Argón industrial 16*80 / 300BAR",377,"Argón Liquido - LAR",3,"UND",681.408000,403.200000,681.410000
44,"Argón industrial B10 / 200BAR",377,"Argón Liquido - LAR",3,"UND",3.549000,2.100000,3.550000
60,"Argón industrial B10 / 300BAR",377,"Argón Liquido - LAR",3,"UND",5.324000,3.150000,5.320000
45,"Argón industrial B14 / 200BAR",377,"Argón Liquido - LAR",3,"UND",4.969000,2.940000,4.970000
61,"Argón industrial B14 / 300BAR",377,"Argón Liquido - LAR",3,"UND",7.453000,4.410000,7.450000
46,"Argón industrial B16 / 200BAR",377,"Argón Liquido - LAR",3,"UND",5.678000,3.360000,5.680000
62,"Argón industrial B16 / 300BAR",377,"Argón Liquido - LAR",3,"UND",8.518000,5.040000,8.520000
41,"Argón industrial B2 / 200BAR",377,"Argón Liquido - LAR",3,"UND",0.710000,0.420000,0.710000
57,"Argón industrial B2 / 300BAR",377,"Argón Liquido - LAR",3,"UND",1.065000,0.630000,1.060000
47,"Argón industrial B20 / 200BAR",377,"Argón Liquido - LAR",3,"UND",7.098000,4.200000,7.100000
63,"Argón industrial B20 /300BAR",377,"Argón Liquido - LAR",3,"UND",10.647000,6.300000,10.650000
48,"Argón industrial B25 / 200BAR",377,"Argón Liquido - LAR",3,"UND",8.873000,5.250000,8.870000
49,"Argón industrial B30 / 200BAR",377,"Argón Liquido - LAR",3,"UND",10.647000,6.300000,10.650000
64,"Argón industrial B30 / 300BAR",377,"Argón Liquido - LAR",3,"UND",15.971000,9.450000,15.970000
50,"Argón industrial B40 / 200BAR",377,"Argón Liquido - LAR",3,"UND",14.196000,8.400000,14.200000
65,"Argón industrial B40 / 300BAR",377,"Argón Liquido - LAR",3,"UND",21.294000,12.600000,21.290000
42,"Argón industrial B5 / 200BAR",377,"Argón Liquido - LAR",3,"UND",1.775000,1.050000,1.770000
58,"Argón industrial B5 /300BAR",377,"Argón Liquido - LAR",3,"UND",2.662000,1.580000,2.660000
51,"Argón industrial B50 / 200BAR",377,"Argón Liquido - LAR",3,"UND",17.745000,10.500000,17.750000
66,"Argón industrial B50 / 300BAR",377,"Argón Liquido - LAR",3,"UND",26.618000,15.750000,26.620000
43,"Argón industrial B7 / 200BAR",377,"Argón Liquido - LAR",3,"UND",2.484000,1.470000,2.480000
59,"Argón industrial B7 / 300BAR",377,"Argón Liquido - LAR",3,"UND",3.726000,2.210000,3.730000
52,"Argón industrial B80 / 200BAR",377,"Argón Liquido - LAR",3,"UND",28.392000,16.800000,28.390000
67,"Argón industrial B80 / 300BAR",377,"Argón Liquido - LAR",3,"UND",42.588000,25.200000,42.590000
305,"Hidrinac35  (Ar 65% + H2 35%) B10 / 200BAR",377,"Argón Liquido - LAR",3,"UND",2.307000,2.100000,2.370000
313,"Hidrinac35  (Ar 65% + H2 35%) B10 / 300BAR",377,"Argón Liquido - LAR",3,"UND",3.460000,3.150000,3.550000
314,"Hidrinac35  (Ar 65% + H2 35%) B14 / 300BAR",377,"Argón Liquido - LAR",3,"UND",4.844000,4.410000,4.970000
307,"Hidrinac35  (Ar 65% + H2 35%) B20 / 200BAR",377,"Argón Liquido - LAR",3,"UND",4.614000,4.200000,4.730000
315,"Hidrinac35  (Ar 65% + H2 35%) B20 / 300BAR",377,"Argón Liquido - LAR",3,"UND",6.921000,6.300000,7.100000
309,"Hidrinac35  (Ar 65% + H2 35%) B40 / 200BAR",377,"Argón Liquido - LAR",3,"UND",9.227000,8.400000,9.470000
317,"Hidrinac35  (Ar 65% + H2 35%) B40 / 300BAR",377,"Argón Liquido - LAR",3,"UND",13.841000,12.600000,14.200000
318,"Hidrinac35  (Ar 65% + H2 35%) B50 / 300BAR",377,"Argón Liquido - LAR",3,"UND",17.301000,15.750000,17.750000
304,"Hidrinac35  (Ar 65% + H2 35%) B7 / 200BAR",377,"Argón Liquido - LAR",3,"UND",1.615000,1.470000,1.660000
306,"Hidrinac35 (Ar 65% + H2 35%)  B14 / 200BAR",377,"Argón Liquido - LAR",3,"UND",3.230000,2.940000,3.310000
308,"Hidrinac35 (Ar 65% + H2 35%)  B30 / 200BAR",377,"Argón Liquido - LAR",3,"UND",6.921000,6.300000,7.100000
316,"Hidrinac35 (Ar 65% + H2 35%) B30 / 300BAR",377,"Argón Liquido - LAR",3,"UND",10.381000,9.450000,10.650000
303,"Hidrinac35 (Ar 65% + H2 35%) B5 / 200BAR",377,"Argón Liquido - LAR",3,"UND",1.153000,1.050000,1.180000
